id,date,store_nbr,family,sales,onpromotion
2,2013-01-01,1,BEAUTY,0.0,0
7,2013-01-01,1,CLEANING,0.0,0
30,2013-01-01,1,PRODUCE,0.0,0
35,2013-01-01,10,BEAUTY,0.0,0
40,2013-01-01,10,CLEANING,0.0,0
63,2013-01-01,10,PRODUCE,0.0,0
365,2013-01-01,2,BEAUTY,0.0,0
370,2013-01-01,2,CLEANING,0.0,0
393,2013-01-01,2,PRODUCE,0.0,0
728,2013-01-01,3,BEAUTY,0.0,0
733,2013-01-01,3,CLEANING,0.0,0
756,2013-01-01,3,PRODUCE,0.0,0
1091,2013-01-01,4,BEAUTY,0.0,0
1096,2013-01-01,4,CLEANING,0.0,0
1119,2013-01-01,4,PRODUCE,0.0,0
1454,2013-01-01,5,BEAUTY,0.0,0
1459,2013-01-01,5,CLEANING,0.0,0
1482,2013-01-01,5,PRODUCE,0.0,0
1652,2013-01-01,6,BEAUTY,0.0,0
1657,2013-01-01,6,CLEANING,0.0,0
1680,2013-01-01,6,PRODUCE,0.0,0
1685,2013-01-01,7,BEAUTY,0.0,0
1690,2013-01-01,7,CLEANING,0.0,0
1713,2013-01-01,7,PRODUCE,0.0,0
1718,2013-01-01,8,BEAUTY,0.0,0
1723,2013-01-01,8,CLEANING,0.0,0
1746,2013-01-01,8,PRODUCE,0.0,0
1751,2013-01-01,9,BEAUTY,0.0,0
1756,2013-01-01,9,CLEANING,0.0,0
1779,2013-01-01,9,PRODUCE,0.0,0
1784,2013-01-02,1,BEAUTY,2.0,0
1789,2013-01-02,1,CLEANING,1060.0,0
1812,2013-01-02,1,PRODUCE,0.0,0
1817,2013-01-02,10,BEAUTY,6.0,0
1822,2013-01-02,10,CLEANING,1110.0,0
1845,2013-01-02,10,PRODUCE,0.0,0
2147,2013-01-02,2,BEAUTY,3.0,0
2152,2013-01-02,2,CLEANING,1432.0,0
2175,2013-01-02,2,PRODUCE,0.0,0
2510,2013-01-02,3,BEAUTY,15.0,0
2515,2013-01-02,3,CLEANING,3101.0,0
2538,2013-01-02,3,PRODUCE,0.0,0
2873,2013-01-02,4,BEAUTY,7.0,0
2878,2013-01-02,4,CLEANING,1358.0,0
2901,2013-01-02,4,PRODUCE,0.0,0
3236,2013-01-02,5,BEAUTY,7.0,0
3241,2013-01-02,5,CLEANING,1810.0,0
3264,2013-01-02,5,PRODUCE,0.0,0
3434,2013-01-02,6,BEAUTY,11.0,0
3439,2013-01-02,6,CLEANING,1826.0,0
3462,2013-01-02,6,PRODUCE,0.0,0
3467,2013-01-02,7,BEAUTY,3.0,0
3472,2013-01-02,7,CLEANING,1666.0,0
3495,2013-01-02,7,PRODUCE,0.0,0
3500,2013-01-02,8,BEAUTY,3.0,0
3505,2013-01-02,8,CLEANING,1904.0,0
3528,2013-01-02,8,PRODUCE,0.0,0
3533,2013-01-02,9,BEAUTY,6.0,0
3538,2013-01-02,9,CLEANING,2624.0,0
3561,2013-01-02,9,PRODUCE,0.0,0
